OBJECTID,STUSPS,A_1,A_2,A_3,Total_sqm,Total_ha,,,,
1,AL,446589900,1990554300,3829728600,6266872800,626687.28,,,,
2,AZ,19337385600,10201865400,83918891700,1.13458E+11,11345814.27,,,CA sqm,4.0988E+11
3,AR,696768300,10930343400,4211121600,15838233300,1583823.33,,,CA_ha,40987996.39
4,CA,67030494300,27738343800,1.07749E+11,2.02518E+11,20251790.82,,,,
5,CO,15842518200,10248477300,85591186200,1.11682E+11,11168218.17,,,,
6,CT,9704700,372748500,854465400,1236918600,123691.86,,0.494090773,,
7,DE,292500,463595400,391186800,855074700,85507.47,,,,
8,GA,2874567600,3779867700,3237797700,9892233000,989223.3,,,,
9,ID,18583234200,11374324200,1.1584E+11,1.45797E+11,14579742.6,,,,
10,IL,2254059900,1810206900,880440300,4944707100,494470.71,,,,
11,IN,208515600,2471067000,474653700,3154236300,315423.63,,,,
12,IA,25193700,1910590200,531745200,2467529100,246752.91,,,,
13,KS,121067100,1308404700,587243700,2016715500,201671.55,,,,
14,MD,20750400,2306855700,1637384400,3964990500,396499.05,,,,
15,MN,5192584200,10063667700,36003977100,51260229000,5126022.9,,,,
16,MS,190944000,4914269100,3544354800,8649567900,864956.79,,,,
17,MT,19038969900,13036884300,1.07034E+11,1.3911E+11,13910950.71,,,,
18,NV,16370322300,27290741400,1.86694E+11,2.30355E+11,23035533.03,,,,
19,NJ,311152500,3735635400,1661085000,5707872900,570787.29,,,,
20,NM,7591096800,9792921600,82016025300,99400043700,9940004.37,,,,
21,ND,323048700,3489229800,8034675300,11846953800,1184695.38,,,,
22,OK,487926900,3867802200,2025378900,6381108000,638110.8,,,,
23,PA,1155085200,1888575300,15726982500,18770643000,1877064.3,,,,
24,SC,353058300,3409124400,2905293600,6667476300,666747.63,,,,
25,SD,450992700,2791049400,13627323900,16869366000,1686936.6,,,,
26,UT,6899795100,18689197500,1.25037E+11,1.50626E+11,15062624.82,,,,
27,VT,526311900,504272700,2621228400,3651813000,365181.3,,,,
28,WV,482914800,2121526800,4289002200,6893443800,689344.38,,,,
29,WY,21971545200,6556549500,1.10377E+11,1.38905E+11,13890547.26,,,,
30,FL,7448215500,8573377500,23573778300,39595371300,3959537.13,,,,
31,KY,454040100,1010596500,3947612400,5412249000,541224.9,,,,
32,LA,513927900,6857505900,4152156300,11523590100,1152359.01,,,,
33,ME,856674000,4577443200,5900247000,11334364200,1133436.42,,,,
34,MA,443916000,1156044600,2931351300,4531311900,453131.19,,,,
35,MI,1440050400,15966379800,16310593800,33717024000,3371702.4,,,,
36,MO,501801300,5411574000,5798277000,11711652300,1171165.23,,,,
37,NE,332170200,1737344700,2344005000,4413519900,441351.99,,,,
38,NH,637295400,705298500,4689558000,6032151900,603215.19,,,,
39,NY,5050746900,8730703800,5954184900,19735635600,1973563.56,,,,
40,NC,2091249900,4848579900,7227297000,14167126800,1416712.68,,,,
41,OH,162667800,736701300,3486322800,4385691900,438569.19,,,,
42,OR,10874432700,18188937000,1.10552E+11,1.39615E+11,13961519.46,,,,
43,RI,8528400,443420100,113492700,565441200,56544.12,,,,
44,TN,1236722400,2709484200,4117583700,8063790300,806379.03,,,,
45,TX,4908673800,16532005500,11886341400,33327020700,3332702.07,,,,
46,VA,1021734900,4328083800,7171664400,12521483100,1252148.31,,,,
47,WA,18511991100,7635407400,41004021600,67151420100,6715142.01,,,,
48,WI,322834500,12298105800,10964289600,23585229900,2358522.99,,,,
