"","Variable","Cat_GAP12","Ws_GAP12","Cat_GAP123","Ws_GAP123"
"1","LakeArea_km2","(0.01, 0.04, 0.35), (0.01, 0.03, 0.38)","(0.01, 0.03, 0.3), (0.01, 0.03, 0.39)","(0.01, 0.03, 0.32), (0.01, 0.03, 0.39)","(0.01, 0.03, 0.28), (0.01, 0.03, 0.39)"
"2","MaxDepth_m","(0.04, 1.88, 14.42), (0.14, 1.18, 9.25)","(0.06, 3.04, 16.37), (0.14, 1.18, 9.25)","(0.14, 2.66, 14.62), (0.14, 1.13, 8.55)","(0.24, 3.19, 15.2), (0.13, 1.13, 8.64)"
"3","DrainageArea_km2","(0.03, 0.28, 3.35), (0.05, 0.42, 6.23)","(0.03, 0.34, 7.99), (0.05, 0.77, 43.91)","(0.04, 0.4, 3.91), (0.05, 0.42, 6.36)","(0.05, 0.6, 10.37), (0.05, 0.78, 46.11)"
"4","TWI","(363.94, 762.64, 1513.82), (389.13, 676.81, 1094.23)","(343.99, 731.88, 1482.5), (388.79, 669.95, 1058.36)","(277.24, 668.7, 1342.05), (396.92, 679.92, 1090.58)","(269.47, 634.51, 1332.34), (397.01, 674.55, 1057.33)"
"5","MeanElevation_m","(0.04, 177.95, 3264.19), (6.93, 319.25, 1777.68)","(0.04, 156.67, 3338.26), (7.47, 326.72, 1829.44)","(0.39, 579.88, 3408.18), (6.87, 303.33, 1460.22)","(0.39, 622.13, 3468.81), (7.41, 311.72, 1514.95)"
"6","MeanPrecip_mm","(309.56, 981.15, 1582.25), (341.37, 901.83, 1507.4)","(316.66, 998.37, 1594.91), (345.99, 904.18, 1508.99)","(278.88, 866.74, 1739.93), (346.22, 907.04, 1492.22)","(289.35, 902.79, 1811.35), (349.97, 906.44, 1494.46)"
"7","MeanTemp_C","(0.85, 11.95, 23.71), (3.47, 10.53, 21.43)","(0.61, 12.39, 23.76), (3.42, 10.48, 21.45)","(-0.58, 5.19, 23.2), (4, 11.01, 21.49)","(-0.87, 4.92, 23.24), (3.95, 10.88, 21.5)"
"8","TotalForest_pct","(0, 0, 82.04), (0, 2.94, 78.32)","(0, 0, 81.79), (0, 3.69, 79.01)","(0, 13.81, 89.09), (0, 2.46, 76.86)","(0, 14.38, 89.66), (0, 3.21, 77.86)"
"9","TotalConif_pct","(0, 0, 54.25), (0, 0, 41.13)","(0, 0, 54.03), (0, 0, 41.06)","(0, 1.22, 83.33), (0, 0, 35.82)","(0, 2.07, 83.97), (0, 0, 36.5)"
"10","TotalAg_pct","(0, 0, 58), (0, 9.16, 88)","(0, 0, 59.81), (0, 12.07, 87.86)","(0, 0, 17), (0, 12.19, 88.45)","(0, 0, 17.23), (0, 14.76, 88.27)"
"11","TotalWetland_pct","(0, 25.7, 100), (0, 1.89, 57.14)","(0, 25, 100), (0, 1.83, 53.28)","(0, 3.29, 97.97), (0, 1.95, 55.56)","(0, 2.45, 96.39), (0, 1.89, 52.09)"
"12","RoadDensity_km/km2","(0, 0.31, 3.18), (0, 1.37, 6.15)","(0, 0.3, 3.19), (0, 1.36, 5.96)","(0, 0.02, 2.56), (0, 1.43, 6.29)","(0, 0.02, 2.5), (0, 1.41, 6.09)"
"13","Impervious_pct","(0, 0, 2.11), (0, 0.19, 14.64)","(0, 0, 2.15), (0, 0.23, 14.38)","(0, 0, 1.02), (0, 0.22, 15.51)","(0, 0, 0.93), (0, 0.26, 15.08)"
"14","Mines_km","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0)"
"15","SNDEP_kg/ha/yr","(47.47, 382.35, 665.39), (101.24, 427.11, 726.83)","(48.1, 377.36, 664.71), (103.8, 426.94, 726.88)","(48.13, 335.17, 618.6), (106.13, 433.28, 729.97)","(48.38, 333.64, 607.71), (107.54, 432.71, 729.9)"
"16","NPDES_km2","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0)"
"17","Superfund_km2","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0)"
"18","ToxicRI_km2","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0)"
"19","AreaBurned_pct","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0)"
"20","ForestLoss_pct","(0, 0, 5.79), (0, 0, 14.14)","(0, 0, 6.02), (0, 0.01, 14.79)","(0, 0, 14.77), (0, 0, 13.95)","(0, 0, 15.72), (0, 0.01, 14.59)"
"21","BFI_pct","(10, 47, 74), (13, 37, 70)","(10, 46.13, 74), (13, 37, 70)","(14, 57.5, 76), (13, 36, 69)","(14, 58, 76), (13, 36, 69.26)"
"22","Dams_km2","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0.04)","(0, 0, 0), (0, 0, 0)","(0, 0, 0), (0, 0, 0.05)"
"23","Runoff_mm/month","(11, 293, 773), (7, 251, 668)","(11, 293, 773), (7, 251, 668)","(11, 272, 872), (6, 251, 667)","(11, 276, 887), (6.1, 250, 667)"
